Testdatensatz - Example

Typ	AgentConfig	TestinstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlTuerme	ClientID	TargetValue
remote	9ef67fcd-66b9-4e45-ad58-31e2892717c8	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,46881
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,46881
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,36226
remote	c9ec95e6-665f-417f-a623-74a81f5d5cbb	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	30,36226
remote	c9ec95e6-665f-417f-a623-74a81f5d5cbb	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	30,4856158823529
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,65436117647059
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,48428
remote	c9ec95e6-665f-417f-a623-74a81f5d5cbb	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	30,48428
remote	c9ec95e6-665f-417f-a623-74a81f5d5cbb	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	30,55205
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,55205
remote	c9ec95e6-665f-417f-a623-74a81f5d5cbb	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	30,4006429411765
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,49476058823529
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,80025
remote	c9ec95e6-665f-417f-a623-74a81f5d5cbb	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	30,80025
